epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.3843,1.42239,2.50913,1.39934,0.97399,0.47407,0.72383,0.46087,1.29126,2.48423,1.19275,0.00026,0.00026,0.00026
2,147.571,1.29067,1.23596,1.17474,1,0.76205,0.87952,0.59237,1.16977,1.98524,1.04623,0.00053109,0.00053109,0.00053109
3,228.584,1.24279,1.05373,1.16142,1,0.58596,0.88843,0.51086,1.31441,2.21762,1.16479,0.00079294,0.00079294,0.00079294
4,311.767,1.20876,1.01476,1.17925,0.88073,0.28049,0.45002,0.25364,1.29198,2.88497,1.34482,0.00104555,0.00104555,0.00104555
5,398.25,1.18877,0.99653,1.16652,0.89686,0.73418,0.85809,0.42744,1.53854,1.98247,1.27998,0.00128892,0.00128892,0.00128892
6,484.186,1.16941,0.94579,1.15997,0.81693,0.87342,0.91745,0.60196,1.22948,1.32926,1.15795,0.00152305,0.00152305,0.00152305
7,570.277,1.10136,0.85776,1.12323,0.81758,0.96448,0.94968,0.62913,1.2199,1.14808,1.12709,0.00174794,0.00174794,0.00174794
8,655.699,1.08399,0.86097,1.12988,0.94259,0.93671,0.9806,0.71602,0.97583,0.98866,1.00919,0.001769,0.001769,0.001769
9,740.422,1.09557,0.83683,1.12127,0.94931,0.91139,0.98293,0.69981,1.0625,1.00978,1.04184,0.001736,0.001736,0.001736
10,825.47,1.07338,0.80401,1.12415,0.86805,0.66627,0.76117,0.53877,1.11027,1.54786,1.08243,0.001703,0.001703,0.001703
11,1580.56,1.05094,0.76392,1.10937,0.96818,0.91139,0.9805,0.73486,0.95009,0.93672,0.98356,0.00167,0.00167,0.00167
12,1677.44,1.02477,0.73913,1.08714,1,0.99896,0.995,0.76118,0.92012,0.7154,0.98655,0.001637,0.001637,0.001637
13,1796.86,0.9832,0.71697,1.05607,0.99914,1,0.995,0.78537,0.78863,0.66846,0.9267,0.001604,0.001604,0.001604
14,1923.23,0.93592,0.69359,1.04923,0.99868,1,0.995,0.78943,0.80803,0.60726,0.93496,0.001571,0.001571,0.001571
15,2044.22,0.88624,0.6629,1.02971,0.99798,1,0.995,0.83522,0.68241,0.56044,0.8943,0.001538,0.001538,0.001538
16,2161.97,0.88756,0.65406,1.02701,0.99819,1,0.995,0.82914,0.71187,0.57048,0.90168,0.001505,0.001505,0.001505
17,2273.06,0.87238,0.64315,1.03588,0.9873,0.98734,0.99401,0.81499,0.71535,0.62278,0.93347,0.001472,0.001472,0.001472
18,2376.76,0.82549,0.63686,1.01961,0.97352,0.98734,0.98895,0.72761,0.97359,0.6416,1.04389,0.001439,0.001439,0.001439
19,2480.45,0.80595,0.60568,1.00885,0.95911,0.98734,0.98708,0.7828,0.77529,0.59941,0.97465,0.001406,0.001406,0.001406
20,2585.3,0.80002,0.58847,1.01506,0.9875,0.99975,0.99312,0.82957,0.6944,0.51066,0.91806,0.001373,0.001373,0.001373
