epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2401.42,0.90858,0.59665,1.15096,0.99818,1,0.995,0.84485,0.61518,0.44233,1.00114,0.00133472,0.00133472,0.00133472
44,2451.79,0.91373,0.58777,1.1646,0.99857,1,0.995,0.82244,0.64711,0.45643,0.99176,0.00131888,0.00131888,0.00131888
45,2502.42,0.84238,0.57332,1.12108,0.99888,1,0.995,0.84037,0.64617,0.439,1.01557,0.00130304,0.00130304,0.00130304
46,2554.42,0.89286,0.59963,1.16569,0.99871,1,0.995,0.80867,0.73481,0.45213,1.03848,0.0012872,0.0012872,0.0012872
47,2605.53,0.90183,0.58292,1.1789,0.99834,1,0.995,0.65591,1.18889,0.53587,1.38245,0.00127136,0.00127136,0.00127136
48,2657.22,0.87079,0.59239,1.1481,0.99893,1,0.995,0.87297,0.55175,0.4088,0.96598,0.00125552,0.00125552,0.00125552
49,2708.44,0.8649,0.58894,1.14596,0.99897,1,0.995,0.87247,0.5429,0.36364,0.95016,0.00123968,0.00123968,0.00123968
50,2759.61,0.84694,0.57266,1.1203,0.9971,1,0.995,0.82528,0.66791,0.42269,1.02071,0.00122384,0.00122384,0.00122384
51,2810.7,0.85693,0.58073,1.13605,0.99416,1,0.995,0.87564,0.51695,0.38536,0.93921,0.001208,0.001208,0.001208
52,2863.53,0.84377,0.55069,1.13041,0.99851,1,0.995,0.88268,0.5327,0.38523,0.94489,0.00119216,0.00119216,0.00119216
53,2915.69,0.85271,0.56679,1.14206,0.99898,1,0.995,0.86883,0.54988,0.38711,0.95039,0.00117632,0.00117632,0.00117632
54,2967.89,0.86276,0.57646,1.14539,0.99909,1,0.995,0.87406,0.52914,0.37488,0.94399,0.00116048,0.00116048,0.00116048
55,3019.28,0.80222,0.54113,1.10519,0.99863,1,0.995,0.75555,0.81807,0.42241,1.08,0.00114464,0.00114464,0.00114464
56,3070.52,0.85118,0.5531,1.1368,0.99902,1,0.995,0.80905,0.70592,0.40213,1.03845,0.0011288,0.0011288,0.0011288
57,3122.2,0.83033,0.54689,1.11822,0.9989,1,0.995,0.76148,0.81437,0.45472,1.13654,0.00111296,0.00111296,0.00111296
58,3174.54,0.7993,0.51507,1.09864,0.99863,1,0.995,0.85497,0.60306,0.38769,0.98103,0.00109712,0.00109712,0.00109712
59,3227.82,0.81992,0.55052,1.13147,0.99912,1,0.995,0.90114,0.48248,0.33061,0.92621,0.00108128,0.00108128,0.00108128
60,3280.28,0.81205,0.51332,1.11059,0.99911,1,0.995,0.82985,0.69364,0.38679,1.03554,0.00106544,0.00106544,0.00106544
61,3331.98,0.75987,0.50833,1.07864,0.99913,1,0.995,0.8993,0.45815,0.32587,0.91154,0.0010496,0.0010496,0.0010496
62,3383.29,0.80386,0.52744,1.11141,0.9991,1,0.995,0.89001,0.4641,0.32577,0.91256,0.00103376,0.00103376,0.00103376
63,3434,0.76576,0.49911,1.10258,0.99914,1,0.995,0.90448,0.45226,0.31441,0.91126,0.00101792,0.00101792,0.00101792
64,3485.11,0.78189,0.50697,1.0853,0.99915,1,0.995,0.87202,0.52232,0.33654,0.93399,0.00100208,0.00100208,0.00100208
65,3538.58,0.82626,0.5226,1.13595,0.99914,1,0.995,0.87693,0.54071,0.34655,0.94152,0.00098624,0.00098624,0.00098624
66,3595.1,0.7602,0.48402,1.06719,0.99906,1,0.995,0.90085,0.46883,0.33135,0.90591,0.0009704,0.0009704,0.0009704
67,3652.34,0.72755,0.46695,1.05941,0.99903,1,0.995,0.90787,0.43928,0.31019,0.89564,0.00095456,0.00095456,0.00095456
68,3712.11,0.74823,0.47251,1.07807,0.99913,1,0.995,0.89384,0.51729,0.32793,0.92081,0.00093872,0.00093872,0.00093872
69,3769.84,0.70521,0.46333,1.05111,0.99909,1,0.995,0.91293,0.43965,0.30856,0.88604,0.00092288,0.00092288,0.00092288
70,3828.41,0.70497,0.46644,1.04183,0.99892,1,0.995,0.91537,0.43722,0.32588,0.89014,0.00090704,0.00090704,0.00090704
71,3882.56,0.7348,0.49398,1.06578,0.99892,1,0.995,0.84679,0.53776,0.35145,0.94063,0.0008912,0.0008912,0.0008912
72,3939.24,0.74622,0.47449,1.08258,0.99906,1,0.995,0.72955,0.89614,0.42038,1.14661,0.00087536,0.00087536,0.00087536
73,3993.53,0.74376,0.45479,1.05492,0.99916,1,0.995,0.82574,0.64292,0.36031,0.9908,0.00085952,0.00085952,0.00085952
74,4049.57,0.72214,0.47452,1.05557,0.99905,1,0.995,0.88957,0.47667,0.32134,0.91531,0.00084368,0.00084368,0.00084368
75,4103.58,0.70625,0.45676,1.04944,0.9991,1,0.995,0.91956,0.39493,0.30122,0.8746,0.00082784,0.00082784,0.00082784
76,4157.59,0.65679,0.44607,1.02685,0.99913,1,0.995,0.9127,0.40489,0.29724,0.88144,0.000812,0.000812,0.000812
77,4212.05,0.69642,0.452,1.04974,0.99914,1,0.995,0.93023,0.36213,0.28137,0.86212,0.00079616,0.00079616,0.00079616
