epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,634.947,0.97215,0.88067,1.10337,1,0.91003,0.97188,0.71452,0.97537,1.28612,1.01716,0.00113451,0.00113451,0.00113451
44,650.438,0.98175,0.82761,1.04135,0.98471,0.93353,0.988,0.74703,0.91143,1.13529,0.97313,0.00114743,0.00114743,0.00114743
45,665.952,0.94137,0.98572,1.17153,0.98471,0.93353,0.988,0.74703,0.91143,1.13529,0.97313,0.00115971,0.00115971,0.00115971
46,681.538,1.05033,1.04012,1.18012,0.98494,0.94786,0.98949,0.77083,0.83458,1.08357,0.94516,0.00117135,0.00117135,0.00117135
47,695.725,0.87178,0.76361,1.00099,0.98494,0.94786,0.98949,0.77083,0.83458,1.08357,0.94516,0.00118236,0.00118236,0.00118236
48,710.398,0.90114,0.77976,1.08776,0.9856,0.99186,0.99443,0.7874,0.82017,0.97334,0.9456,0.00119274,0.00119274,0.00119274
49,724.341,0.78187,0.70113,0.94507,0.9856,0.99186,0.99443,0.7874,0.82017,0.97334,0.9456,0.00120249,0.00120249,0.00120249
50,738.347,0.87405,0.74877,0.99429,0.99812,1,0.995,0.78737,0.82536,0.85213,0.95493,0.0012116,0.0012116,0.0012116
51,752.898,0.88794,0.78606,1.05121,0.99812,1,0.995,0.78737,0.82536,0.85213,0.95493,0.001208,0.001208,0.001208
52,768.11,0.8077,0.71293,0.93221,1,0.99481,0.995,0.77077,0.84912,0.82431,0.9652,0.00119216,0.00119216,0.00119216
53,783.139,0.80779,0.76146,1.01428,1,0.99481,0.995,0.77077,0.84912,0.82431,0.9652,0.00117632,0.00117632,0.00117632
54,797.793,0.84694,0.73466,1.00549,0.98571,0.99983,0.99386,0.77058,0.85683,0.84009,0.98138,0.00116048,0.00116048,0.00116048
55,812.361,0.8257,0.70803,0.99668,0.98571,0.99983,0.99386,0.77058,0.85683,0.84009,0.98138,0.00114464,0.00114464,0.00114464
56,826.908,0.80688,0.6942,0.97491,0.98246,0.98551,0.99414,0.72048,1.00122,0.89408,1.06254,0.0011288,0.0011288,0.0011288
57,841.121,0.83289,0.67232,0.98973,0.98246,0.98551,0.99414,0.72048,1.00122,0.89408,1.06254,0.00111296,0.00111296,0.00111296
58,855.509,0.96532,0.77015,1.12132,1,0.98506,0.99445,0.79159,0.79234,0.89134,0.95267,0.00109712,0.00109712,0.00109712
59,870.563,0.79726,0.69001,0.97905,1,0.98506,0.99445,0.79159,0.79234,0.89134,0.95267,0.00108128,0.00108128,0.00108128
60,884.801,0.88064,0.76413,1.06336,0.98363,0.98551,0.99418,0.79315,0.75976,0.87091,0.92695,0.00106544,0.00106544,0.00106544
61,899.302,0.84594,0.67476,1.03507,0.98363,0.98551,0.99418,0.79315,0.75976,0.87091,0.92695,0.0010496,0.0010496,0.0010496
62,914.011,0.76146,0.68063,1.00009,0.96993,0.98551,0.99318,0.77873,0.81777,0.84981,0.94432,0.00103376,0.00103376,0.00103376
63,928.189,0.72571,0.74484,0.99816,0.96993,0.98551,0.99318,0.77873,0.81777,0.84981,0.94432,0.00101792,0.00101792,0.00101792
64,942.88,0.77709,0.63839,0.99152,1,0.98282,0.99486,0.80069,0.77625,0.77763,0.93742,0.00100208,0.00100208,0.00100208
65,957.62,0.84364,0.69458,1.05772,1,0.98282,0.99486,0.80069,0.77625,0.77763,0.93742,0.00098624,0.00098624,0.00098624
66,971.908,1.05767,1.00054,1.28552,1,0.98524,0.995,0.83646,0.65694,0.72672,0.89999,0.0009704,0.0009704,0.0009704
67,985.862,0.78869,0.6433,1.01432,1,0.98524,0.995,0.83646,0.65694,0.72672,0.89999,0.00095456,0.00095456,0.00095456
68,999.883,0.83264,0.74849,1.07192,0.99645,1,0.995,0.84199,0.65445,0.73178,0.89133,0.00093872,0.00093872,0.00093872
69,1013.94,0.80426,0.64188,0.96828,0.99645,1,0.995,0.84199,0.65445,0.73178,0.89133,0.00092288,0.00092288,0.00092288
70,1028.35,0.72727,0.6746,0.96487,0.99767,1,0.995,0.80922,0.7347,0.75095,0.91645,0.00090704,0.00090704,0.00090704
71,1043.11,0.79791,0.65678,0.97044,0.99767,1,0.995,0.80922,0.7347,0.75095,0.91645,0.0008912,0.0008912,0.0008912
72,1058.71,0.71651,0.62227,0.95417,0.99847,1,0.995,0.82887,0.66931,0.70629,0.89643,0.00087536,0.00087536,0.00087536
73,1074.48,0.81169,0.66188,1.0072,0.99847,1,0.995,0.82887,0.66931,0.70629,0.89643,0.00085952,0.00085952,0.00085952
74,1089.71,0.70117,0.61399,0.94036,0.9987,1,0.995,0.85298,0.61375,0.66308,0.87592,0.00084368,0.00084368,0.00084368
75,1104.3,0.79887,0.68221,1.03149,0.9987,1,0.995,0.85298,0.61375,0.66308,0.87592,0.00082784,0.00082784,0.00082784
76,1118.69,0.75777,0.6376,1.00745,0.99893,1,0.995,0.84575,0.62112,0.63821,0.87462,0.000812,0.000812,0.000812
77,1132.91,0.73168,0.6302,0.99255,0.99893,1,0.995,0.84575,0.62112,0.63821,0.87462,0.00079616,0.00079616,0.00079616
78,1147.16,0.85736,0.68277,0.9881,0.9985,1,0.995,0.82077,0.67335,0.6261,0.8941,0.00078032,0.00078032,0.00078032
79,1161.69,0.72382,0.59246,0.94511,0.9985,1,0.995,0.82077,0.67335,0.6261,0.8941,0.00076448,0.00076448,0.00076448
80,1176.09,0.74251,0.6038,0.94651,0.9987,1,0.995,0.82233,0.68216,0.61075,0.89842,0.00074864,0.00074864,0.00074864
81,1190.77,0.70241,0.57664,0.98335,0.9987,1,0.995,0.82233,0.68216,0.61075,0.89842,0.0007328,0.0007328,0.0007328
82,1205.15,0.92942,0.65916,1.09405,0.99903,1,0.995,0.84847,0.5989,0.56472,0.87601,0.00071696,0.00071696,0.00071696
83,1219.32,0.66608,0.55432,0.9363,0.99903,1,0.995,0.84847,0.5989,0.56472,0.87601,0.00070112,0.00070112,0.00070112
84,1233.66,0.76985,0.66643,0.95451,0.99898,1,0.995,0.86908,0.54585,0.53789,0.85729,0.00068528,0.00068528,0.00068528
85,1247.8,0.68831,0.56099,0.94201,0.99898,1,0.995,0.86908,0.54585,0.53789,0.85729,0.00066944,0.00066944,0.00066944
86,1262.35,0.62674,0.61493,0.95809,0.99895,1,0.995,0.85929,0.57909,0.54187,0.8724,0.0006536,0.0006536,0.0006536
87,1276.56,0.65822,0.54009,0.91907,0.99895,1,0.995,0.85929,0.57909,0.54187,0.8724,0.00063776,0.00063776,0.00063776
88,1290.51,0.65168,0.57145,0.93994,0.99881,1,0.995,0.85379,0.58057,0.52752,0.87875,0.00062192,0.00062192,0.00062192
89,1304.47,0.75084,0.6384,1.06618,0.99881,1,0.995,0.85379,0.58057,0.52752,0.87875,0.00060608,0.00060608,0.00060608
90,1318.57,0.67995,0.56423,0.92419,0.99869,1,0.995,0.86595,0.54971,0.51864,0.86647,0.00059024,0.00059024,0.00059024
91,1332.38,0.65926,0.57658,0.9272,0.99869,1,0.995,0.86595,0.54971,0.51864,0.86647,0.0005744,0.0005744,0.0005744
92,1346.42,0.60379,0.53396,0.89407,0.99852,1,0.995,0.86667,0.55021,0.50744,0.86697,0.00055856,0.00055856,0.00055856
93,1361.82,0.72361,0.66243,0.98822,0.99852,1,0.995,0.86667,0.55021,0.50744,0.86697,0.00054272,0.00054272,0.00054272
94,1376.6,0.66446,0.58147,0.98821,0.9984,1,0.995,0.88841,0.51585,0.50071,0.85751,0.00052688,0.00052688,0.00052688
95,1390.79,0.63407,0.58027,0.94238,0.9984,1,0.995,0.88841,0.51585,0.50071,0.85751,0.00051104,0.00051104,0.00051104
96,1405.33,0.58403,0.51593,0.90318,0.99872,1,0.995,0.88863,0.50462,0.48916,0.8468,0.0004952,0.0004952,0.0004952
