epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.173,1.30111,2.21661,1.34124,0.01748,0.87912,0.81823,0.50902,1.16694,2.48956,1.02612,0.00038,0.00038,0.00038
2,278.354,1.22688,1.2096,1.19765,0.92601,0.55012,0.72624,0.48608,1.17175,2.06975,1.03552,0.00076713,0.00076713,0.00076713
3,412.058,1.19748,1.14944,1.20506,0.93383,0.77541,0.88181,0.57797,1.13453,1.58287,1.0174,0.00114106,0.00114106,0.00114106
4,554.431,1.16961,1.01124,1.17009,0.76124,0.65934,0.73115,0.40557,1.33162,1.67108,1.20085,0.00150179,0.00150179,0.00150179
5,688.87,1.14697,0.97975,1.18727,0.81089,0.72527,0.80909,0.5488,1.11976,1.4095,1.05172,0.00184932,0.00184932,0.00184932
6,800.054,1.15993,0.91772,1.17142,0.76399,0.86813,0.87931,0.49879,1.28899,1.40663,1.15392,0.001835,0.001835,0.001835
7,918.944,1.12452,0.90616,1.17759,0.77032,0.75824,0.83932,0.57451,1.11225,1.25674,1.11197,0.001802,0.001802,0.001802
8,1031.12,1.05508,0.80488,1.12294,0.97899,0.79121,0.92344,0.63385,1.08989,1.09416,1.05567,0.001769,0.001769,0.001769
9,1141.4,1.09864,0.83018,1.15729,0.84184,0.86813,0.89366,0.62528,1.05726,1.07139,1.06905,0.001736,0.001736,0.001736
10,1252.26,1.04558,0.76765,1.12038,0.97795,0.97484,0.99245,0.74465,0.90178,0.70376,1.00418,0.001703,0.001703,0.001703
11,1361.86,0.98948,0.70981,1.09722,0.94679,0.97772,0.98931,0.74812,0.84237,0.69746,0.97033,0.00167,0.00167,0.00167
12,1475.83,0.98483,0.71911,1.09813,0.95998,0.98901,0.9904,0.71315,0.9253,0.68651,1.04054,0.001637,0.001637,0.001637
13,1598.81,0.94429,0.68144,1.08136,0.93687,0.76923,0.89886,0.6181,1.01719,1.0097,1.11264,0.001604,0.001604,0.001604
14,1717.04,0.88228,0.62754,1.04981,0.98251,1,0.99478,0.80858,0.71936,0.54445,0.93043,0.001571,0.001571,0.001571
15,1834.29,0.8757,0.61798,1.05669,0.98913,0.99964,0.99489,0.80356,0.72892,0.51062,0.94592,0.001538,0.001538,0.001538
16,1951.5,0.86562,0.59829,1.05356,0.97773,1,0.99446,0.81755,0.69189,0.50742,0.92772,0.001505,0.001505,0.001505
17,2083.33,0.84252,0.58104,1.04244,1,0.99811,0.995,0.8295,0.66436,0.50512,0.91762,0.001472,0.001472,0.001472
18,2204.49,0.81721,0.56577,1.02208,1,0.98781,0.99489,0.83822,0.65428,0.49876,0.89828,0.001439,0.001439,0.001439
19,2323.03,0.79791,0.55256,1.01636,0.99817,0.98901,0.99489,0.83763,0.62347,0.44281,0.89835,0.001406,0.001406,0.001406
20,2442.31,0.79359,0.538,1.00597,0.99717,1,0.995,0.80528,0.74554,0.47159,0.95699,0.001373,0.001373,0.001373
