epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,379.617,1.38702,2.18967,1.43289,0.98418,0.4508,0.90945,0.59883,1.16435,2.80683,1.22506,0.0004,0.0004,0.0004
2,833.153,1.19707,1.31356,1.22449,0.97264,0.51521,0.91281,0.6189,1.12411,2.73891,1.22958,0.00079294,0.00079294,0.00079294
3,1207.46,1.19022,1.19243,1.23967,0.9839,0.88592,0.96342,0.67431,1.09182,2.20809,1.13299,0.00115816,0.00115816,0.00115816
4,1590.24,1.10815,1.12962,1.1879,0.91077,0.73961,0.89388,0.59998,1.19079,2.2808,1.22533,0.00149566,0.00149566,0.00149566
5,1961.97,1.05318,1.02435,1.17731,0.9644,0.63043,0.81018,0.46641,1.3914,2.44018,1.40476,0.001736,0.001736,0.001736
6,2350.88,1.0184,0.92851,1.13601,0.90449,0.94928,0.96137,0.64787,1.05702,1.27663,1.17491,0.00167,0.00167,0.00167
7,2674.43,0.95329,0.83884,1.0956,0.98275,0.89855,0.9666,0.71664,0.95224,1.31162,1.08675,0.001604,0.001604,0.001604
8,2974.64,0.91401,0.78138,1.09114,0.91977,0.58155,0.76636,0.53002,1.09289,1.85811,1.1996,0.001538,0.001538,0.001538
9,3298.13,0.87895,0.74667,1.08157,0.98387,0.86957,0.9633,0.8156,0.70872,1.2676,0.96027,0.001472,0.001472,0.001472
10,3615.17,0.80131,0.68129,1.0316,0.97163,0.99266,0.99371,0.7825,0.77844,0.75304,0.98816,0.001406,0.001406,0.001406
11,3917.67,0.78012,0.64685,1.02202,0.9928,0.99977,0.99457,0.81852,0.75512,0.68908,0.98479,0.00134,0.00134,0.00134
12,4245.86,0.80034,0.6346,1.03127,0.99887,0.99275,0.995,0.81334,0.74404,0.64812,0.96167,0.001274,0.001274,0.001274
13,4596.4,0.72401,0.58813,1.00693,0.98476,1,0.99493,0.82742,0.66117,0.58861,0.9291,0.001208,0.001208,0.001208
14,4987.92,0.68032,0.55521,0.99695,0.99925,1,0.995,0.87349,0.55175,0.48487,0.87733,0.001142,0.001142,0.001142
15,5386.87,0.63803,0.52039,0.97241,0.9993,1,0.995,0.89986,0.47285,0.45414,0.85286,0.001076,0.001076,0.001076
16,5769.16,0.64698,0.5004,0.97262,0.99945,1,0.995,0.90863,0.40887,0.41548,0.82264,0.00101,0.00101,0.00101
17,6158.6,0.65323,0.50462,0.98826,0.99942,1,0.995,0.9262,0.384,0.4028,0.81463,0.000944,0.000944,0.000944
18,6606.29,0.58469,0.46891,0.95828,0.99944,1,0.995,0.92906,0.3629,0.36696,0.81051,0.000878,0.000878,0.000878
19,6949.1,0.59801,0.46837,0.96748,0.99955,1,0.995,0.93114,0.35064,0.35624,0.80889,0.000812,0.000812,0.000812
20,7303.42,0.59108,0.45304,0.95533,0.99955,1,0.995,0.94476,0.34023,0.34575,0.80248,0.000746,0.000746,0.000746
21,7613.2,0.48697,0.42364,0.90017,0.99946,1,0.995,0.92379,0.38924,0.39413,0.81269,0.00068,0.00068,0.00068
22,7899.87,0.47473,0.40988,0.88955,0.99946,1,0.995,0.94998,0.3195,0.33364,0.79711,0.000614,0.000614,0.000614
23,8185.62,0.41918,0.38603,0.86221,0.99957,1,0.995,0.95885,0.28452,0.30668,0.78849,0.000548,0.000548,0.000548
24,8466.55,0.41085,0.37113,0.87223,0.99952,1,0.995,0.9656,0.26987,0.27614,0.78333,0.000482,0.000482,0.000482
25,8751.89,0.37089,0.34192,0.84739,0.99957,1,0.995,0.9706,0.26966,0.27702,0.78548,0.000416,0.000416,0.000416
26,9046.35,0.37558,0.33666,0.85697,0.99957,1,0.995,0.97174,0.25845,0.27743,0.78212,0.00035,0.00035,0.00035
27,9345.61,0.36677,0.32899,0.8445,0.99958,1,0.995,0.97557,0.26284,0.271,0.78434,0.000284,0.000284,0.000284
28,9657.17,0.34479,0.30906,0.84191,0.9996,1,0.995,0.99274,0.20917,0.25186,0.77416,0.000218,0.000218,0.000218
29,9944.59,0.31459,0.29589,0.82802,0.9996,1,0.995,0.99303,0.19636,0.24639,0.7722,0.000152,0.000152,0.000152
30,10225.3,0.30532,0.29822,0.82556,0.9996,1,0.995,0.98894,0.18986,0.24228,0.77191,8.6e-05,8.6e-05,8.6e-05
